,User,CREATED_AT,LABEL,stemming_words,LIKE COUNT,FOLLOWERS COUNT
2,1.42E+18,7/29/2021 2:40,"Other,Politics",හාමුදුරුවරු සියලූම පූජකයන්ගේ මානසික සෞඛ්යය සොයා බැලීමේ වැඩ පිලිවලක් ඕනේ,1,1433
3,1.42E+18,7/27/2021 10:40,Politics,ද්විපාර්ශවික එකඟතා ජන ජීවිත සෞඛ්යය මනාව ආරක්ෂා කරමින් හැකි ඉක්මණින් ආර්ථිකය,10,13898
4,1.42E+18,7/25/2021 20:56,"Other,Crime",කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකි,0,87
5,1.42E+18,7/25/2021 20:53,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුර,0,87
6,1.42E+18,7/25/2021 20:52,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට,1,87
7,1.42E+18,7/25/2021 20:52,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොක,0,87
8,1.42E+18,7/25/2021 20:50,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකිර,0,87
9,1.42E+18,7/25/2021 20:49,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් න,0,87
10,1.42E+18,7/25/2021 20:48,Other,කරැනාකර චින නිෂ්පාදිත එන්නත ලබාගත් පුද්ගලයන් හට යුරෝපීය රට වලට විසා නිකුත් නොකිරීම,0,87
12,1.42E+18,7/24/2021 22:42,Other,ශ්රී ලංක ගුවන සේවය විශිෂ්ට සෞඛ්යය කළමනාකරණ වූ සම්මානය දිනා ගනියි,0,383
13,1.42E+18,7/24/2021 11:30,Other,ආසියානු නායකත්ව සම්මාන උළෙලේ ශ්රීලංකන් ගුවන සේවය විශිෂ්ට සෞඛ්යය කළමනාකරණ වූ සම්මානය දිනා ගනියි,0,23
14,1.42E+18,7/24/2021 4:41,Other,ශ්රීලංකන් ගුවන සේවය ආසියානු නායකත්ව සම්මාන උළෙලේ ආසියානු මානව සම්පත නායකත්ව සම්මාන කාණ්ඩ යටතේ විශිෂ්ටතම සෞඛ්යය කළමනාකරණ වූ සම්මානයෙන් පිදු ලබා ඇත,0,32
15,1.42E+18,8/1/2021 14:34,Sport,ඕක නං පට්ටපල් බොරු ක්රීඩා කරන්න ඔලිම්පික් තේරෙන්න ගහෙන් වැටෙනව වගේ කට්ටි නෙමෙයි ළම,1,854
17,1.42E+18,8/1/2021 14:32,Sport,ඊටත් කලින් ස්වභාවික වරණය තීරණය කරපු ගුණාංග ක්රීඩා වලට මුල කියලත් පේනවා,0,2146
19,1.42E+18,8/1/2021 12:54,Sport,හැට්ටකටු පැත්තකින් තියාපල්ලාකො ලංකා නමගිය ක්රීඩා පාසලක ළමයි එක්කලා ප්රැක්ටිස්වලට මට යන්න යෙදුණ ක්රීඩා පාසලක කිව්වම වෙන්නෙ රට වටේ ඉන්න දක්ෂයො ගෙනල්ල එක තැනක ප්රැක්ටිස් කරවන එක එහෙම වුණාම හරිය පහසුකම් එහෙම තියෙන්නෝන නෙ හරින,5,110
21,1.42E+18,8/1/2021 5:58,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ පදක්කම් සටහනේ පෙරමුණ චීනය,0,201
23,1.42E+18,8/1/2021 5:38,Sport,ජපානයේ ටෝකියෝ නුවර ඔලිම්පික් උලෙල නිමාව දකින්න නියමිතව ඇත්තේ අගොස්තු වනදාය වනවිට තරගාවලියේ පදක්කම් උණුසුම මතුව පටන්ගෙන තිබෙයි චීනය ඉදිරියෙන් සිටින මළල ක්රීඩා තරග ඉදිරියේදී අවසන් වීමට නියමිත ඇමරිකාව පෙරමුණ ගැනීමට බලාපොරොත්තු,2,6740
25,1.42E+18,8/1/2021 5:15,Sport,පුදුම කට්ටක් කන්නෙ අපේ ඔලිම්පික් ක්රීඩක ක්රීඩිකාවො ක්රීඩා ඇමතිටත් පේන්න දැම්මෙ,11,47598
27,1.42E+18,8/1/2021 3:51,Politics,ක්රීඩා ඇමති ශ්රී ලංකාජපාන පාර්ලිමේන්තු මන්ත්රීවරුන්ගේ මිත්රත්ව කණ්ඩායමේ ලේකම් යුකෝ ඔබුචි හමුවක්,0,2269
29,1.42E+18,8/1/2021 3:43,Sport,බලද්දී හිතුනා හුඟ ක්රීඩා වලට මූලික වෙලා තියෙන්නේ නේද කියලා එහෙම බැලුවම වගේ ඒවා කොහෙන් පහත් උනාද මන්දා,69,2146
31,1.42E+18,8/1/2021 1:47,Sport,හැදුනොත් හොඳ කරන්න බැරි පිස්සුවක් තමයි ඔලිම්පික් ක්රීඩා බලන එක,5,3801
33,1.42E+18,7/31/2021 17:39,Sport,හුංගම පල්ලෙගම හයිරයිඩස් ක්රීඩා පිටිය ග්රාමිය වොලිබෝල් ක්රීඩාංගනය ජනතා අයිතියට පැවරී ප්රාදේශීය ලේකම් කොට්ඨාශ එක් පොදු ක්රීඩා පිටියක් සංවර්ධන කිරීමේ වැඩසටහන යටතේ ක්රිඩාංගණ සංවර්ධන කර අමාත්ය නාමල් රාජපක්ෂ මැතිතුමන් ප්රධානත්වය අද ජනතා අයිතියට පත්විය,0,41
36,1.42E+18,7/31/2021 15:38,Sport,ඔව්මෙතන අපේ ක්රීඩකයින්ට ඇදුම්ගැන ප්රශ්නයක් කතා කලේ විශේෂයෙන් මලල ක්රීඩා වෙ,0,5572
40,1.42E+18,7/31/2021 15:23,Sport,තහනම ලක් කොට අංගම්පොර සටන් කලාව කැබිනට් පත්රිකාවක් ඉවත්කොට වසර තුල ගැසට් කිරීමට පියවර ගන්නා ක්රීඩා තරුණ කටයුතු අමාත්ය නාමල් රාජපක්ෂ මහතා පවසයි ජාතික ක්රීඩා සතිය නිමිත්තෙන් පිළිකුත්තුව පුරාණ රජමහ විහාරස්ථාන භූමියේදී පැවැති,0,105
42,1.42E+18,7/31/2021 14:10,Sport,එකේ මිල්කා පටන්ගත් තැනම බැලන්ස් නැතුව වැටෙනව ඔලිම්පික් එකක ක්රීඩා විලාසය කියල,1,60
44,1.42E+18,7/31/2021 14:04,Sport,අපි හැමදාම කලේ අතීතයේ දිහා බලාගෙන ආඩම්බර වෙනවා ඒකාලේ මෙහෙම හැදුව කියලා අද චීනට දෙනවා,2,60
46,1.42E+18,7/31/2021 9:51,Sport,ඉන්දියාව පැවති තරඟ ජයග්රහණ කරා මෙහෙයවූ අතිගරු ජනාධිපති ගොටාබය රාජපක්ස මැතිඳුන්ටත් අහමති මහින්ද රාජපක්ස මැතිඳුන්ටත් ක්රීඩා ඇමති නාමල් රාජපක්ස මැටිතුමන්ටත් ජයගම,2,370
48,1.42E+18,7/31/2021 8:07,Sport,නිකමට හිතන්නකො අපේ රටේ ක්රීඩා කියල තිබුනෙ ඇත්ලටික්ස් විතරයි කියල එහෙනම් අපේ ජීවිත පට්ට බෝරින් වෙයි නෙහ් පෙරුම් පුරාගෙන බලන් ඉන්න ඉවෙන්ට් එක තප්පර ගානක ඉවරවෙනව වගේද ක්රිකට් කෙලින්ම අපේ දවසක්ම කාල දානවනෙ වී ආර් සෝ ලකී නේහ්,19,954
50,1.42E+18,7/31/2021 6:53,Sport,මෙවර ඔලිම්පික් ක්රීඩා උළෙලේ ශ්රී ලංකා නියෝජන කරමින් යුපුන් අබේකෝන් අද තරග බිමට පිවිසී නියමිතව තිබේ මීටර පිරිමි ධාවන ඉසව් සදහා තරඟ ශ්රී ලංකා වේලාවෙන් අද පස්වරු පැවැත්වී නියමිතයි,0,105
52,1.42E+18,7/31/2021 6:08,Sport,පෝට් සිටි හි පිහිටි ගොල්ෆ් ක්රීඩා පිටිය අද ජනතාවට විවෘත කරයි,1,1018
54,1.42E+18,7/31/2021 6:00,Sport,ජාතික ක්රීඩා දිනය අද,0,2025
56,1.42E+18,7/30/2021 14:39,Sport,විනය කමිටුවෙන් නිර්දේශිත දඬුවම් විධායක කමිටු යළි සලකා බැලීම අගය කළ යුතුයි ලැබුණු අවස්ථාවෙන් ප්රයෝජන අරගෙන හොඳ පුහුණු වෙලා තහනම් කාලයෙන් පසුව රට කැපවීමෙන් ක්රීඩා කරන්න,2,2078
58,1.42E+18,7/30/2021 14:24,Entertainment,ලෝකයේ වමතින් ක්රීඩා නොකල හැකි එකම ක්රීඩාව මොකක් කියලා දන්න,2,10
